"number","title","pageid","namespace","length","touched"
"1","Anarchism","12","","114730","20260428190918"
"2","Aristotle","308","","158558","20260426183258"
"3","Algeria","358","","216746","20260506144721"
"4","Apollo","594","","219819","20260508134217"
"5","Andorra","600","","157683","20260503032411"
"6","Agriculture","627","","203723","20260506162953"
"7","Aldous_Huxley","628","","72981","20260506190544"
"8","A_Modest_Proposal","665","","28482","20260411071536"
"9","Android_(robot)","713","","34284","20260406193322"
"10","Amateur_astronomy","748","","43804","20260418093336"
"11","Art","752","","132166","20260421195303"
"12","Affidavit","795","","12012","20260503235633"
"13","Anime","800","","158492","20260426110844"
"14","Arabic","803","","155227","20260507120303"
"15","A_Clockwork_Orange_(novel)","843","","53679","20260503165906"
"16","Andy_Warhol","864","","296246","20260509050042"
"17","A._E._van_Vogt","888","","52661","20260425052936"
"18","Antimony","898","","61889","20260430214937"
"19","Author","914","","22912","20260428224910"
"20","Albert_Camus","983","","64366","20260422191325"
"21","Hercule_Poirot","1000","","74778","20260418025533"
"22","Miss_Marple","1002","","33659","20260501170131"
"23","Allen_Ginsberg","1017","","112919","20260506104022"
"24","Auto_racing","1022","","55162","20260502192629"
"25","Anarcho-capitalism","1023","","172379","20260506203356"
"26","Albert_Schweitzer","1029","","91193","20260506174537"
"27","Amateur","1049","","17526","20251003121406"
"28","Almond","1064","","68820","20260504164812"
"29","Antisemitism","1078","","256460","20260424114403"
"30","Abbot","1143","","35379","20260501095456"
"31","Aphrodite","1174","","152330","20260428001908"
"32","Aleister_Crowley","1177","","128305","20260502045119"
"33","Afterlife","1178","","132695","20260506144416"
"34","Agrarianism","1193","","57877","20260408181956"
"35","Alternate_history","1203","","83435","20260508194853"
"36","Artist","1212","","18645","20260427205859"
"37","American_(word)","1241","","55229","20260219054402"
"38","Argot","1262","","210","20221220064703"
"39","Analytical_engine","1271","","44485","20260422095255"
"40","Abbess","1301","","14136","20260506081019"
"41","The_Apache_Software_Foundation","1336","","13811","20260415064202"
"42","Anchor","1358","","59856","20260328072130"
"43","Ambrosia","1369","","12498","20260410225746"
"44","Anno_Domini","1400","","36930","20260508203758"
"45","Animism","1423","","89590","20260507202215"
"46","Acropolis","1536","","15981","20260325024850"
"47","Acupuncture","1537","","138614","20260504070203"
"48","Agrippina_the_Younger","1557","","51968","20260417155149"
"49","American_Chinese_cuisine","1558","","85869","20260426183912"
"50","Alexander_III_of_Russia","1592","","71679","20260508223135"
"51","Andrew_Johnson","1624","","133024","20260505023335"
"52","Aleksandr_Solzhenitsyn","1625","","127350","20260503114609"
"53","Aquaculture","1634","","136113","20260508112636"
"54","Kolmogorov_complexity","1635","","58692","20260426104053"
"55","Apuleius","1789","","22537","20260502124732"
"56","Alexander_Selkirk","1790","","33018","20260317090242"
"57","Adenosine_triphosphate","1800","","54060","20260403210018"
"58","Alarums_and_Excursions","1866","","9407","20260121002517"
"59","Art_Deco","1881","","179938","20260508084346"
"60","Albert_Spalding","1893","","25464","20260505032101"
"61","Al-Qaeda","1921","","258226","20260506044731"
"62","Andromeda_(mythology)","1925","","75870","20260410081707"
"63","American_Revolution","1973","","202636","20260507234316"
"64","Archery","2007","","71572","20260507014512"
"65","Arbor_Day","2017","","45676","20260423041943"
"66","Andrew_Wiles","2027","","33626","20260421000238"
"67","Advance_Australia_Fair","2053","","48582","20260309231935"
"68","Acropolis_of_Athens","2076","","49693","20260419064853"
"69","Asterix","2101","","88862","20260316124820"
"70","Aesthetics","2130","","149057","20260501221224"
"71","Ark_of_the_Covenant","2134","","62562","20260412164624"
"72","Lists_of_animated_television_series","2139","","2703","20260317022049"
"73","African_Americans","2154","","294611","20260506215333"
"74","Artistic_License","2161","","11032","20260111055453"
"75","Afrikaans","2162","","122766","20260501031143"
"76","American_cuisine","2175","","228459","20260508122510"
"77","Autobiography","2179","","21957","20260425131959"
"78","Antisemitism_in_the_Arab_world","2187","","67157","20260427033721"
"79","Angels_in_art","2207","","39157","20260405073352"
"80","Abu_Sayyaf","2216","","190469","20260505091048"
"81","Steel-string_acoustic_guitar","2237","","19577","20260311020706"
"82","Abiotic_stress","2250","","35351","20260214233317"
"83","Aramaic","2303","","162194","20260502055002"
"84","Arthur_Miller","2310","","74010","20260426013440"
"85","Amdahl's_law","2323","","16800","20251129010632"
"86","Ayahuasca","2328","","101437","20260426233518"
"87","Adamic_language","2335","","18249","20260503005339"
"88","Anointing_of_the_sick","2348","","49680","20260416165822"
"89","Adhesive","2396","","45200","20260409225838"
"90","Albrecht_Dürer","2402","","72058","20260507193103"
"91","Australian_rules_football","2403","","113380","20260508233753"
"92","Conservation_and_restoration_of_cultural_property","2444","","69924","20260327205000"
"93","Action_Against_Hunger","2448","","10190","20260507180417"
"94","Abacá","2473","","38824","20260419111532"
"95","Amphetamine","2504","","339093","20260423144147"
"96","Artillery","2508","","127611","20260503182729"
"97","Abated","2604","","525","20260116001554"
"98","Antoine_Thomson_d'Abbadie","2607","","26792","20260213033453"
"99","Aegis","2628","","10794","20260419000101"
"100","Affiliation_(family_law)","2662","","5875","20250729104734"
"101","Abd_al-Rahman_III","2678","","41442","20251211002930"
"102","Azad_Kashmir","2745","","97566","20260430022822"
"103","Astrobiology","2787","","119131","20260508004229"
"104","Anthropic_principle","2792","","77915","20260506153151"
"105","Aragonese_language","2813","","45474","20260430213341"
"106","The_ABC_Song","2824","","13162","20260505223308"
"107","Abjuration","2830","","8568","20250426012330"
"108","Acrylic_paint","2838","","35560","20260317112219"
"109","Advertising","2861","","128902","20260426103051"
"110","Archaeoastronomy","2864","","121492","20260505143412"
"111","Archduke_Charles,_Duke_of_Teschen","2875","","31936","20260507063325"
"112","Arbeit_macht_frei","2906","","13349","20260402090031"
"113","Algemeen_Nijmeegs_Studentenblad","2938","","1967","20240917015515"
"114","And_did_those_feet_in_ancient_time","2940","","47646","20260508195447"
"115","Alcoholism","2965","","170514","20260501184606"
"116","Abracadabra","2986","","11416","20260413224909"
"117","Anemometer","2994","","29956","20260415112512"
"118","Autonomous_building","3022","","42410","20260406204103"
"119","Adoptionism","3036","","37631","20260331205245"
"120","Amphisbaena","3044","","10909","20260117222436"
"121","Alioth","3093","","16116","20260331145643"
"122","A_Doll's_House","3144","","62820","20260506052516"
"123","Afrobeat","3168","","19188","20260418021607"
"124","Outback","3229","","31563","20260427122559"
"125","Absolute_infinite","3231","","10478","20260221191950"
"126","Amok_syndrome","3253","","20977","20260405051336"
"127","Agar","3262","","36859","20260310163354"
"128","Acephali","3266","","9089","20251001104534"
"129","The_Birth_of_a_Nation","3333","","129536","20260421202407"
"130","Blues","3352","","110281","20260430174033"
"131","Beer","3363","","117040","20260429191958"
"132","Boron_nitride","3370","","82373","20260210184234"
"133","Beryllium","3378","","104712","20260504034405"
"134","The_Buddha","3395","","255298","20260424193446"
"135","Bridge","3397","","226778","20260418000010"
"136","Bead","3402","","20835","20260331031541"
"137","Baruch_Spinoza","3408","","117170","20260419102538"
"138","Burn_card","3412","","2092","20250526194518"
"139","Beavis_and_Butt-Head","3427","","107651","20260501041453"
"140","Cue_sports","3447","","46232","20260405122436"
"141","Bangladesh","3454","","274232","20260504102212"
"142","Brunei","3466","","137001","20260506124050"
"143","Berlin_Wall","3722","","153975","20260424003146"
"144","Bhangra_(music)","3733","","25684","20260415115142"
"145","Basque_language","3738","","113117","20260427164446"
"146","Blade_Runner","3746","","148630","20260509024908"
"147","Bill_Gates","3747","","222549","20260504234053"
"148","Earned_run","3801","","8599","20260415014034"
"149","Base_on_balls","3802","","15715","20251111174100"
"150","Hit_by_pitch","3806","","20212","20260103233044"
"151","On-base_percentage","3808","","11812","20251227101336"
"152","Stolen_base","3811","","34502","20260401152744"
"153","Bauhaus","3832","","63305","20260506232431"
"154","Brigitte_Bardot","3845","","129124","20260502100942"
"155","Banjo","3846","","82813","20260506133033"
"156","Baseball","3850","","172767","20260412082853"
"157","Bruce_Perens","3869","","30050","20260505124406"
"158","Bass_guitar","3916","","24472","20260428200943"
"159","Basketball","3921","","109696","20260425034151"
"160","Ball","3928","","40049","20260426224522"
"161","Bastille_Day","3936","","56447","20260310215649"
"162","Badminton","3956","","62466","20260507065354"
"163","Baroque","3957","","151676","20260509113723"
"164","Beachcomber_(pen_name)","3963","","12465","20260414054853"
"165","Blackjack","3981","","57475","20260420142851"
"166","Benjamin_Franklin","3986","","221663","20260506215717"
"167","Contract_bridge","3995","","72004","20260423025805"
"168","Boat","3996","","17596","20260421173834"
"169","Bigfoot","4009","","210062","20260505221753"
"170","Black","4035","","91798","20260426140654"
"171","Bubble_tea","4045","","66427","20260509045637"
"172","Bifröst","4055","","14706","20260320194251"
"173","Brísingamen","4063","","14425","20260206235921"
"174","Bishop","4092","","120409","20260509130341"
"175","Bertrand_Russell","4163","","157298","20260509115208"
"176","Utility_knife","4168","","16351","20260122151156"
"177","Bacillus_thuringiensis","4184","","83586","20260507182725"
"178","Barter","4232","","41306","20260507220341"
"179","Benedictines","4240","","66873","20260504154915"
"180","Boxing","4243","","167241","20260423033306"
"181","Bowls","4248","","28486","20251231104952"
"182","Baháʼí_Faith","4251","","117758","20260426232339"
"183","Belle_and_Sebastian","4267","","49943","20260221164113"
"184","Bodhidharma","4285","","88170","20260502195204"
"185","Buddhists","4291","","43623","20260507173845"
"186","Baptism","4298","","240244","20260430142729"
"187","Bocce","4300","","21930","20251205190222"
"188","Beltane","4306","","54228","20260506131949"
"189","Batman","4335","","96314","20260504035339"
"190","Baldric","4353","","8823","20260419191923"
"191","Boomerang","4359","","52122","20260506204543"
